delta,true_label,pred_label,text,explanation
21.95690974063774,pos,pos, Bought new from my local dealer in March 2002.  The vehicle is the SE model and has been a real value.  This was the last year Toyota built the 4Runner for American sales solely in Japan.  That is a real plus!  Great in the snow and fun to drive on vacation.  Overall a great value and would do it over again.,
16.848585833405195,neu,pos," Here's to the new $40K BMW Corolla, or should they just be embarrassed to even put the BMW symbol, which is (really, was) the symbol of ""fun to drive""?!The pick-up in this car is jet-like, but that's where it ends. It handles like a Corolla. The interior is cheap and outdated, like a Corolla. This car handles like, you guessed it, a Corolla. It even has the same engine note as the Toyota Corolla. Everything about this car says ""Toyota""! Except of course for the gorgeous exterior.The ridiculous introduction of electronic-assisted steering will prove to be the beginning of the end for BMW. I don't wonder anymore why Audi is advertising ""more drivers than ever are switching over from BMW""!",
-3.783568175576079,neg,neu," This is the first time I have ever written a review on any product I have bought, but felt strongly enough to hopefully sway others to be careful in their purchase. I bought my pathfinder in February with 21,000 miles. I specifically asked the salesman about prior transmission issues with pathfinders and was told it was completely resolved.  At 31,000 miles it's at the dealership with catastrophic failure of the transmission. I'll get it back on Monday and trade for a new vehicle.  There will never be a Nissan parked in my driveway again.  I have no confidence in their ability to build a reliable vehicle.  The ride was good.  The interior fit our family needs.  It is a mechanical nightmare. ",
3.8814015439390914,neu,neu," Researched several brands before purchasing Frontier.  Looked to be the  best value for the money.  Fit and finish were tight  with no apparent problems.  Interior entry is difficult for tall or large frame people.  Seating is comfortable on short and long trips. Interior is sparten with lots of vinyl.  Only one recall for crash sensor in front due to corrosion.  Rear box is functional with the spray-on bed liner, lock down hooks and bed extender are a complete loss for our usage. Tires make a lot of road noise which permeates thru cabin area, but is manageable.  Brakes have been a major disappointment on this vehicle, both in stopping and replacement (22000) much to premature for 25k trk",
-83.29251855940856,neg,neg," Loved my first Prius, a 2007 (I think a level 3 option package - no nav, single CD, etc).  The interior package of my 2017 V (level 4) seems to have been designed by first year interns.  Prime cup holder don't hold 90% of the travel cups I have or have seen.  The power outlets went from 3 easily accessible from the front seat to two; one of which is in the back of the cargo area and not accessible at all by any normal human while riding in the vehicle. The tonneau cover is a bit oddly placed so that one needs to attach a flap to the back seats if it is to cover the whole area; problem is that the attachment only works if those seats are in a slightly reclined position. The straps are solid; guess they hadn't heard of elastic. The miles per gallon on the standard odometer setting is bizzare; constantly going up and down and in no apparent logical way.  The readings on the trip meter work fine but the main odometer reading is useless.  Oh, and the toggle to go from MPH to KM/H has been standard equipment on most vehicles since the 70s; guess it's no longer needed because it simply isn't there, although there appears to be a place for it. What, you have to go to the highest trim package for that? Or is it some other special option?  The navigation system is just OK. My 10 year Garmin was better.  This one thinks I'm off road, I guess, unless I'm zoomed in so far it only shows the next 1/4 mile of map. Not exactly handy.  (Though I really like the display on the speedometer that tells me what street I'm on.)  It also doesn't display the options I've asked for, like speed limit, unless I only have the map displayed (and sometimes not then), and of course, there's no option to have that as the primary display; you have to have something else displayed also as the default. Several other odd ""design features"" as well.  None are complete deal breakers but very disappointing.  (Oh, and what's with that backup signal?  Not new but NO ONE else has it apparently since everyone who has ridden in my Priuses (just what is the plural?) has ever encountered such a signal that can be heard ONLY inside the vehicle.)Radio is Sirius but that service is of NO use to me, offering only a couple of stations I'd listen to, but I have local ones for those genres. Reception quality is the worst I've had in a radio for at least 28 years (since I've lived in current location). Never had static before, now have it all the time in my location.",
-23.085536133280357,neg,neg," 2 months after warranty was over (oh yeah!), check engine light went on (P2727) with less than 50k miles. Ended up changing both the torque converter and solenoids as well as the sensor to get rid of the light... 10 miles later, the light went off again... They're telling me now that the computer has issues which has to be changed. I don't know whom to trust and what to do next. Will trade in my car for another car which won't be a Toyota for sure.... Yep, Toyota's legendary reliability is only good until you're covered under warranty... My advice to you if you decide buy a Toyota, add an extended warranty...",
-4.413821662578869,neg,neu," the transimission on the 2014 pathfinders is junk, I have 1 with 84,000 miles and one with 72,000 miles and a nisan quest with 95000 miles and they afre all complete junk! do nt buy it unless they recall the transmission, Nissan is showing what kind of company they are knowing this issue and completely ignoring it!",
52.395548977640146,pos,pos, I have always wanted an M3 since I was a kid. After owning a normal 3-series it was time for fun. I first drove the new 2008-2010 M3 with V8 and while it looks nice and very luxurious it was too soft for a performance car. I then drove the E46 M3 and was blown away by the incredible performance! It's fast as Porsche at half the cost and twice the ability to use as a normal daily driver and more useful. So I bought a perfect 2006 BMW M3 with competition package. The stopping power of the M3 brakes are incredible and blow away most other cars. I am not a fan of the newer iDrive and fortunately this car does not have it.,
16.18973481042093,pos,pos, I love the style and looks of the double cab...The truck is very large on the inside..lots of room,
-13.19180258333779,neu,neg," I have owned my Sienna XLE since April 2010 and have enjoyed it except for the rattling that developed shortly after I purchased it.The right rear passenger door panel is loose and the door and second row seats rattle when driving on all but the smoothest roads.The van has been in for repair of this issue six times at two dealerships, with no satisfactory resolution. As with all my four previously owned Toyota vehicles, I have had no mechanical problems with the Sienna. I have always had a great deal of confidence in Toyota products, but if this issue isn't resolved I probably will sell or trade the van.Not sure I would purchase another Toyota product.",
